,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1339,Nidaros Sparebank,1857,NISB,NO0010733082,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1340,Norbit,1858,NORBT,NO0010856511,Aktie,Oslo Bors,Norge,Industri,Mätning & Analys
1341,OKEA,1859,OKEA,NO0010816895,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Exploatering
1342,Traton,1861,8TRA,DE000TRAT0N7,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
1343,SelectImmune Pharma,1862,SELECT B,SE0012622785,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1344,OMX Copenhagen 25,1864,OMXC25,DK0060775369,Index,Index,Danmark,N/A,N/A
1345,OMX Copenhagen 25 GI,1865,OMXC25GI,DK0060775443,Index GI,Index,Danmark,N/A,N/A
1346,QuickBit,1866,QBIT,SE0010662585,Aktie,NGM,Sverige,Informationsteknik,Affärs- & IT-System
1347,Anima Group,1869,ANIMA B,SE0012569853,Aktie,NGM,Sverige,Sällanköpsvaror,Fritid & Sport
1348,Zoomability,1870,ZOOM,SE0012740074,Aktie,Spotlight,Sverige,Sällanköpsvaror,Bil & Motor
1349,2020 Bulkers,1871,2020,BMG9156K1018,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1350,EQT,1874,EQT,SE0012853455,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
1351,Lipidor,1875,LIPI,SE0012558617,Aktie,First North,Sverige,Hälsovård,Läkemedel
1352,Akelius D,1876,AKEL D,SE0013110186,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
1353,Fleming Properties,1877,FLMNG,SE0013042561,Aktie,Spotlight,Sverige,Finans & Fastighet,Fastighetsbolag
1354,Preservia Hyresfastigheter,1878,PHYR B,SE0013147113,Aktie,NGM,Sverige,Finans & Fastighet,Fastighetsbolag
1355,Kahoot!,1879,KAHOT,NO0010823131,Aktie,Oslo Bors,Norge,Informationsteknik,Affärs- & IT-System
1356,Norske Skog,1880,NSKOG,NO0010861115,Aktie,Oslo Bors,Norge,Material,Skogsbolag
1357,Relais Group,1881,RELAIS,FI4000391487,Aktie,Mid Cap,Finland,Industri,Elektroniska komponenter
1358,Carbiotix,1882,CRBX,SE0013016128,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1359,eBlitz Group,1883,EBLITZ,SE0009580756,Aktie,NGM,Sverige,Finans & Fastighet,Kredit & Finansiering
1360,ZignSec,1884,ZIGN,SE0012930105,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1361,SATS,1885,SATS,NO0010863285,Aktie,Oslo Bors,Norge,Sällanköpsvaror,Fritid & Sport
1362,K-Fast Holding,1887,KFAST B,SE0016101679,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1363,Fodelia,1888,FODELIA,FI4000400262,Aktie,First North,Finland,Dagligvaror,Livsmedel
1364,Hafnia Limited,1889,HAFNI,BMG4233B1090,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Transport
1365,Observe Medical,1890,OBSRV,NO0010865009,Aktie,Oslo Expand,Norge,Hälsovård,Medicinsk Utrustning
1366,Amido,1891,AMIDO,SE0013042108,Aktie,Spotlight,Sverige,Industri,Säkerhet
1367,Adventure Box,1892,ADVBOX,SE0012955276,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1368,Faron Pharmaceuticals,1893,FARON,FI4000153309,Aktie,First North,Finland,Hälsovård,Läkemedel
1369,Optomed,1894,OPTOMED,FI4000410881,Aktie,Small Cap,Finland,Hälsovård,Medicinsk Utrustning
1370,TietoEVRY,1895,TIETO,FI0009000277,Aktie,Oslo Bors,Norge,Informationsteknik,IT-Konsulter
1371,QleanAir,1896,QAIR,SE0013382066,Aktie,First North,Sverige,Industri,Energi & Återvinning
1372,MOBA Network,1897,MOBA,SE0016277909,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1373,Astralis,1899,ASTRLS,DK0061155785,Aktie,First North,Danmark,Sällanköpsvaror,Gaming & Spel
1374,Divio Technologies,1902,DIVIO B,SE0011311554,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1375,Fastpartner D,1903,FPAR D,SE0013512514,Stocks2,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1376,Sociallite US,1904,SOCIAL,SE0013235553,Aktie,Spotlight,Sverige,Sällanköpsvaror,Marknadsföring
1377,Kollect on Demand,1906,KOLL,SE0013512019,Aktie,First North,Sverige,Industri,Energi & Återvinning
1378,ODI Pharma,1912,ODI,SE0013409760,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1379,Zwipe,1913,ZWIPE,NO0010721277,Aktie,First North,Sverige,Informationsteknik,Biometri
1380,Nord Insuretech,1915,NORDIG,SE0013486255,Aktie,First North,Sverige,Informationsteknik,Internettjänster
1381,Veg of Lund,1917,VOLAB,SE0013281979,Aktie,First North,Sverige,Dagligvaror,Drycker
1382,Musti Group,1918,MUSTI,FI4000410758,Aktie,Mid Cap,Finland,Dagligvaror,Hälsoprodukter
1383,QLife,1921,QLIFE,SE0013486552,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1384,Monivent,1922,MONI,SE0013512282,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1385,Preservia Holding Pref,1923,PHOL PREF,SE0013486099,Pref,NGM,Sverige,Finans & Fastighet,Fastighetsbolag
1386,Stayble Therapeutics,1924,STABL,SE0013513652,Aktie,First North,Sverige,Hälsovård,Läkemedel
1387,BW Energy Limited,1927,BWE,BMG0702P1086,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Exploatering
1388,Northern Ocean,1928,NOL,BMG6682J1036,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Exploatering
1389,Quantafuel,1929,QFUEL,NO0010785967,Aktie,Oslo Growth,Norge,Industri,Energi & Återvinning
1390,Electrolux Professional B,1930,EPRO B,SE0013747870,Aktie,Large Cap,Sverige,Sällanköpsvaror,Hemelektronik
1391,Cloudberry Clean Energy,1932,CLOUD,NO0010876642,Aktie,Oslo Bors,Norge,Kraftförsörjning,Förnybarenergi
1392,Bioextrax,1933,BIOEX,SE0016276752,Aktie,First North,Sverige,Material,Kemikalier
1393,Romsdal Sparebank,1934,ROMSB,NO0010759988,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1394,Epti,1935,EPTI,SE0013774668,Aktie,First North,Sverige,Finans & Fastighet,Investmentbolag
1395,Pexip,1937,PEXIP,NO0010840507,Aktie,Oslo Bors,Norge,Informationsteknik,Kommunikation
1396,AegirBio,1938,AEGIR,SE0014401121,Aktie,First North,Sverige,Hälsovård,Läkemedel
1397,Biofrigas,1939,BIOF,SE0014262887,Aktie,Spotlight,Sverige,Kraftförsörjning,Bioenergi
1398,Ecore Group,1940,ECORE,SE0013888963,Aktie,Spotlight,Sverige,Sällanköpsvaror,Kläder & Skor
1399,Nanoform,1941,NANOFS,FI4000330972,Aktie,First North,Sverige,Hälsovård,Läkemedel
1400,Nanoform,1943,NANOFH,FI4000330972,Aktie,First North,Finland,Hälsovård,Läkemedel
1401,Shape Robotics,1944,SHAPE,DK0061273125,Aktie,First North,Danmark,Informationsteknik,Elektronisk Utrustning
1402,Penneo,1945,PENNEO,DK0061283009,Aktie,Small Cap,Danmark,Informationsteknik,Affärs- & IT-System
1403,Monsenso,1946,MONSO,DK0061277977,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1404,LED iBond,1947,LEDIBOND,DK0061274529,Aktie,First North,Danmark,Industri,Elektroniska komponenter
1405,Fom Technologies,1948,FOM,DK0061278199,Aktie,First North,Danmark,Industri,Industrimaskiner
1406,Andfjord Salmon,1950,ANDF,NO0010829765,Aktie,Oslo Growth,Norge,Dagligvaror,Fiskodling
1407,Ice Fish Farm,1951,IFISH,NO0010884794,Aktie,Oslo Growth,Norge,Dagligvaror,Fiskodling
1408,Magle Chemoswed,1952,MAGLE,SE0014401014,Aktie,First North,Sverige,Hälsovård,Läkemedel
